material_id,name,formula
mp-10008,Ca7Ge (mp-10008),Ca7Ge
mp-1001011,TaO3 (mp-1001011),TaO3
mp-1001581,LiC6 (mp-1001581),LiC6
mp-10018,Ac (mp-10018),Ac
mp-1001833,InBi (mp-1001833),InBi
mp-1001925,LaC (mp-1001925),LaC
mp-10021,Ga (mp-10021),Ga
mp-1002219,TlSb (mp-1002219),TlSb
mp-1002227,RbSb (mp-1002227),RbSb
mp-1002568,MgMn2O4 (mp-1002568),MgMn2O4
mp-1002569,MgMnO2 (mp-1002569),MgMnO2
mp-1002571,NaMn2O4 (mp-1002571),NaMn2O4
mp-1004762,LiMn4O8 (mp-1004762),LiMn4O8
mp-1006112,Na3Co (mp-1006112),Na3Co
mp-10062,Ba2NdNb(CuO4)2 (mp-10062),Ba2NdNb(CuO4)2
mp-1008483,CdN (mp-1008483),CdN
mp-1008669,U (mp-1008669),U
mp-1008733,Ge (mp-1008733),Ge
mp-1008753,Ti2Al (mp-1008753),Ti2Al
mp-1008866,NaAgO (mp-1008866),NaAgO
mp-1008911,LiMnAs (mp-1008911),LiMnAs
mp-1009048,KAgO (mp-1009048),KAgO
mp-1009131,MnAs (mp-1009131),MnAs
mp-1009555,CrO2 (mp-1009555),CrO2
mp-1002572,LiMnO2 (mp-1002572),LiMnO2
mp-10033,NbS2 (mp-10033),NbS2
mp-1003312,KMn4O8 (mp-1003312),KMn4O8
mp-1003314,KMn2O4 (mp-1003314),KMn2O4
mp-1003315,LiMn4O8 (mp-1003315),LiMn4O8
mp-1003316,KMn4O8 (mp-1003316),KMn4O8
mp-1003318,CaMn16O32 (mp-1003318),CaMn16O32
mp-1003319,CaMn8O16 (mp-1003319),CaMn8O16
mp-1003320,CaMn4O8 (mp-1003320),CaMn4O8
mp-1003322,CaMnO2 (mp-1003322),CaMnO2
mp-1003402,CaMnO2 (mp-1003402),CaMnO2
mp-1003483,CaMn4O8 (mp-1003483),CaMn4O8
mp-1003484,MgMn4O8 (mp-1003484),MgMn4O8
mp-1003486,CaMnO2 (mp-1003486),CaMnO2
mp-1003549,LiMn16O32 (mp-1003549),LiMn16O32
mp-1003635,NaMn16O32 (mp-1003635),NaMn16O32
mp-1003636,NaMn4O8 (mp-1003636),NaMn4O8
mp-1003637,LiMn3O6 (mp-1003637),LiMn3O6
mp-1003638,NaMn8O16 (mp-1003638),NaMn8O16
mp-1003736,NaMn2O4 (mp-1003736),NaMn2O4
mp-1003854,KMnO2 (mp-1003854),KMnO2
mp-1003856,MgMnO2 (mp-1003856),MgMnO2
mp-1004037,CaMnO2 (mp-1004037),CaMnO2
mp-1004375,MgMn4O8 (mp-1004375),MgMn4O8
mp-1009654,CaGe2 (mp-1009654),CaGe2
mp-1009655,CaC2 (mp-1009655),CaC2
mp-10157,K (mp-10157),K
mp-10159,K3Sb (mp-10159),K3Sb
mp-1016095,LiMn2O4 (mp-1016095),LiMn2O4
mp-1016144,MgMn3O6 (mp-1016144),MgMn3O6
mp-1016152,NaMnO2 (mp-1016152),NaMnO2
mp-1016153,KMn8O16 (mp-1016153),KMn8O16
mp-1016154,MgMnO2 (mp-1016154),MgMnO2
mp-1016155,NaMn4O8 (mp-1016155),NaMn4O8
mp-1016165,LiMn8O16 (mp-1016165),LiMn8O16
mp-1016224,Mg3Cu (mp-1016224),Mg3Cu
mp-1016229,Mg3Ni (mp-1016229),Mg3Ni
mp-1016240,Mg3C (mp-1016240),Mg3C
mp-1009730,Ca2Sn (mp-1009730),Ca2Sn
